Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,385.85,390.40,384.95,387.95,388.038362357307783604,370728,6330,143856686.00,152934,41.25,5.45,2.10
31-December-2020,382.90,387.35,382.10,386.25,385.055784010935184492,521619,6121,200852413.00,140671,26.97,5.25,3.35
30-December-2020,387.50,387.50,382.80,384.40,384.903708340367173949,669383,4206,257647999.00,137194,20.50,4.70,-3.10
29-December-2020,384.75,390.40,383.25,384.95,387.730726922775026836,904539,7309,350717564.00,117463,12.99,7.15,0.20
28-December-2020,383.30,386.30,382.00,382.85,384.133820163487738419,412875,8266,158599251.00,163502,39.60,4.30,-0.45
24-December-2020,387.35,387.35,378.75,382.20,382.866953566724032804,480539,7698,183982503.00,98634,20.53,8.60,-5.15
23-December-2020,374.15,387.60,370.25,385.40,379.854735906907648616,1105311,27533,419857618.00,306792,27.76,17.35,11.25
22-December-2020,352.30,365.85,349.35,364.00,356.382175459814851746,621772,12615,221588458.00,264152,42.48,16.50,11.70
21-December-2020,362.50,367.40,348.30,354.70,360.181315584337710619,416925,5398,150168595.00,90228,21.64,19.10,-7.80
18-December-2020,359.65,365.60,357.70,363.50,362.713030542853792941,409392,5689,148491813.00,92063,22.49,7.90,3.85
17-December-2020,358.30,359.20,355.75,356.75,357.382004359845985517,119729,2041,42788990.00,32289,26.97,3.45,-1.55
16-December-2020,354.05,358.85,353.25,358.30,356.512046759313708060,365617,9441,130346865.00,215503,58.94,5.60,4.25
15-December-2020,349.90,353.95,347.65,352.95,351.924006421381464769,230480,4125,81111445.00,65287,28.33,6.30,3.05
14-December-2020,353.00,354.55,347.10,349.30,349.513347496767042305,259824,4185,90811956.00,82115,31.60,7.45,-3.70
11-December-2020,357.10,359.95,352.60,353.45,355.946280875088214537,283400,6724,100875176.00,95893,33.84,7.35,-3.65
10-December-2020,356.75,358.00,352.70,356.00,355.882561928365644696,397435,9254,141440186.00,117917,29.67,5.30,-0.75
9-December-2020,367.00,367.75,357.75,359.65,362.083936372517182440,748293,9707,270944875.00,288202,38.51,10.00,-7.35
8-December-2020,360.00,364.95,358.55,363.65,361.649420415988698427,792810,13080,286719277.00,365276,46.07,6.40,3.65
7-December-2020,362.80,362.80,357.75,358.55,359.102859326335217441,277408,5456,99618006.00,154565,55.72,5.05,-4.25
4-December-2020,360.35,362.35,359.00,360.75,360.590769471563007454,255565,3806,92154380.00,93703,36.66,3.35,0.40
3-December-2020,364.65,364.65,357.90,360.15,360.386915665847749976,934568,9164,336806079.00,640935,68.58,6.75,-4.50
2-December-2020,353.35,360.15,353.35,359.00,357.628120930480847710,711847,13997,254576505.00,403234,56.65,6.80,5.65
1-December-2020,353.00,353.70,346.35,352.90,351.075205800287026712,374878,8628,131610371.00,153501,40.95,7.35,-0.10
27-November-2020,355.00,357.50,348.05,350.50,352.704589241618852644,331667,7928,116980473.00,140436,42.34,9.45,-4.50
26-November-2020,350.40,356.15,347.25,355.05,352.047719423459605276,330662,7174,116408803.00,141935,42.92,8.90,4.65
25-November-2020,357.55,358.50,349.55,350.00,353.001061222654405647,444770,10027,157004282.00,168098,37.79,8.95,-7.55
24-November-2020,359.00,361.30,355.00,355.55,358.178490380935439878,556551,11303,199344597.00,227779,40.93,6.30,-3.45
23-November-2020,347.60,357.50,346.00,355.85,352.145593884435166032,781743,14235,275287353.00,380493,48.67,11.50,8.25
20-November-2020,343.95,348.45,342.10,346.40,346.003468962574361806,398390,7910,137844322.00,172349,43.26,6.35,2.45
19-November-2020,348.40,349.45,341.80,342.65,345.928284837559407087,353914,5683,122428863.00,147596,41.70,7.65,-5.75
18-November-2020,349.00,351.55,341.85,345.20,345.114819603516569669,316331,7840,109170516.00,126822,40.09,9.70,-3.80
