Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-November-2019,477.50,480.60,462.25,463.70,470.701028699861687413,46272,1081,21780278.00,15836,34.22,18.35,-13.80
11-November-2019,475.00,480.45,471.95,477.30,477.927693358374594502,23428,721,11196890.00,8170,34.87,8.50,2.30
8-November-2019,478.80,484.25,472.00,473.70,478.438725303226790754,52436,1030,25087413.00,11577,22.08,12.25,-5.10
7-November-2019,480.00,480.50,472.35,478.00,476.354283122128244900,68338,1403,32553099.00,18596,27.21,8.15,-2.00
6-November-2019,487.00,488.15,474.15,476.30,480.182451567492067681,181851,2961,87321659.00,50328,27.68,14.00,-10.70
5-November-2019,460.00,483.50,455.65,481.50,473.267045280826734338,392484,7175,185749743.00,65683,16.74,27.85,21.50
4-November-2019,464.50,467.80,458.00,459.75,462.827444226163244436,37159,685,17198205.00,14659,39.45,9.80,-4.75
1-November-2019,462.50,471.70,461.60,463.80,466.290108793292743786,50095,1607,23358803.00,16198,32.33,10.10,1.30
31-October-2019,462.10,464.60,458.40,462.50,461.044543058289680024,29971,631,13817966.00,7690,25.66,6.20,0.40
30-October-2019,467.00,467.00,456.85,460.50,460.815093079555889473,35937,842,16560312.00,9387,26.12,10.15,-6.50
29-October-2019,469.80,469.90,459.00,465.90,464.639576533294214007,81801,978,38007982.00,64800,79.22,10.90,-3.90
27-October-2019,470.00,470.90,467.95,469.10,469.481384715871979098,10717,403,5031432.00,6426,59.96,2.95,-0.90
25-October-2019,474.95,474.95,463.60,465.35,467.442098914354644149,26528,682,12400304.00,8692,32.77,11.35,-9.60
24-October-2019,473.45,478.75,464.55,469.65,471.329877805661749184,42637,1318,20096092.00,11892,27.89,14.20,-3.80
23-October-2019,472.00,478.15,468.60,471.80,472.795930134781250750,41623,769,19679185.00,8639,20.76,9.55,-0.20
22-October-2019,466.00,479.60,466.00,472.35,474.055573548743546266,52489,1350,24882703.00,16899,32.20,13.60,6.35
18-October-2019,464.50,468.00,461.40,466.90,465.231679205861869402,101947,1482,47428974.00,35630,34.95,6.60,2.40
17-October-2019,454.95,463.50,454.25,462.20,459.905812677215768773,43732,973,20112601.00,15167,34.68,9.25,7.25
16-October-2019,457.00,457.00,449.70,455.85,453.518246158423837963,47051,821,21338487.00,11764,25.00,7.30,-1.15
15-October-2019,459.85,459.85,443.25,450.05,451.274117283132263909,90516,1670,40847528.00,27397,30.27,16.60,-9.80
14-October-2019,448.00,456.60,444.50,454.70,452.323614037472529962,44139,754,19965112.00,18925,42.88,12.10,6.70
11-October-2019,440.55,446.90,440.25,445.65,443.982384169884169884,20720,726,9199315.00,6707,32.37,6.65,5.10
10-October-2019,443.55,444.00,436.80,439.40,440.443623853211009174,21800,552,9601671.00,6501,29.82,7.20,-4.15
9-October-2019,432.95,445.35,431.50,443.25,438.809509214989170855,48942,1330,21476215.00,16298,33.30,13.85,10.30
7-October-2019,430.00,435.00,421.95,432.40,431.316473288282544944,78430,945,33828151.00,26998,34.42,13.05,2.40
4-October-2019,432.55,436.45,425.00,425.95,428.947013335437544385,50692,851,21744182.00,14080,27.78,11.45,-6.60
